Pulp Fiction: Historky z podsvětí,John Travolta
Yeddi,Richard Francis-Bruce
Pulp Fiction: Historky z podsvětí,Bruce Willis
Yeddi,Kevin Spacey
В обувките на Сатаната,Vince Gilligan
Mlčanie jahniat,Kenneth Utt
В обувките на Сатаната,Anna Gunn
Mlčanie jahniat,Ted Tally
Pulp Fiction: Historky z podsvětí,Lawrence Bender
Pulp Fiction: Historky z podsvětí,Samuel L. Jackson
Pulp Fiction: Historky z podsvětí,David Wasco
Mlčanie jahniat,Jodie Foster
Yeddi,Phyllis Carlyle
В обувките на Сатаната,Steven Michael Quezada
Yeddi,Darius Khondji
Mlčanie jahniat,Ron Bozman
Yeddi,David Fincher
Pulp Fiction: Historky z podsvětí,Quentin Tarantino
Pulp Fiction: Historky z podsvětí,Roger Avary
Pulp Fiction: Historky z podsvětí,Sally Menke
Yeddi,Brad Pitt
Mlčanie jahniat,Edward Saxon
В обувките на Сатаната,Bob Odenkirk
В обувките на Сатаната,RJ Mitte
Yeddi,Howard Shore
В обувките на Сатаната,Dean Norris
Mlčanie jahniat,Jonathan Demme
В обувките на Сатаната,Betsy Brandt
Yeddi,Arnold Kopelson
Mlčanie jahniat,Lawrence A. Bonney
Mlčanie jahniat,Thomas Harris
Yeddi,Andrew Kevin Walker
В обувките на Сатаната,Bryan Cranston
В обувките на Сатаната,Aaron Paul
Pulp Fiction: Historky z podsvětí,Andrzej Sekula
Mlčanie jahniat,Kasi Lemmons
Mlčanie jahniat,Anthony Hopkins
В обувките на Сатаната,Jonathan Banks
Pulp Fiction: Historky z podsvětí,Uma Thurman
Yeddi,Morgan Freeman
