Yıldızlararası,Hans Zimmer
Yıldızlararası,Anne Hathaway
Batman - Inceputuri,Christopher Nolan
Yön ritari,Christopher Nolan
Yıldızlararası,Christopher Nolan
Batman - Inceputuri,Ken Watanabe
Batman - Inceputuri,David S. Goyer
Yön ritari,David S. Goyer
Batman - Inceputuri,Charles Roven
Yön ritari,Charles Roven
Yıldızlararası,Lynda Obst
Batman - Inceputuri,Christian Bale
Yön ritari,Christian Bale
Batman - Inceputuri,Larry Franco
Yıldızlararası,Emma Thomas
Yön ritari,Aaron Eckhart
Batman - Inceputuri,Bob Kane
Yön ritari,Bob Kane
Batman - Inceputuri,Lorne Orleans
Yön ritari,Lorne Orleans
Yıldızlararası,Hoyte Van Hoytema
Yıldızlararası,Jessica Chastain
Batman - Inceputuri,Michael Caine
Yön ritari,Michael Caine
Yıldızlararası,Matthew McConaughey
Yön ritari,Jonathan Nolan
Yıldızlararası,Jonathan Nolan
Yıldızlararası,Mackenzie Foy
Yön ritari,Heath Ledger
Batman - Inceputuri,Liam Neeson
