Bashgah-e moshtzani,Ross Grayson Bell
The Lord of the Rings: The Fellowship of the Ring: The Motion Picture,J.R.R. Tolkien
The Two Towers,J.R.R. Tolkien
Bashgah-e moshtzani,Ceán Chaffin
Bashgah-e moshtzani,Edward Norton
The Lord of the Rings: The Fellowship of the Ring: The Motion Picture,Orlando Bloom
The Two Towers,Orlando Bloom
The Lord of the Rings: The Fellowship of the Ring: The Motion Picture,Elijah Wood
The Two Towers,Elijah Wood
Bashgah-e moshtzani,Jim Uhls
Bashgah-e moshtzani,David Fincher
The Lord of the Rings: The Fellowship of the Ring: The Motion Picture,Fran Walsh
The Two Towers,Fran Walsh
The Lord of the Rings: The Fellowship of the Ring: The Motion Picture,Sean Bean
Bashgah-e moshtzani,Zach Grenier
The Two Towers,Viggo Mortensen
Bashgah-e moshtzani,Brad Pitt
Bashgah-e moshtzani,Art Linson
Bashgah-e moshtzani,Meat Loaf
The Lord of the Rings: The Fellowship of the Ring: The Motion Picture,Ian McKellen
The Two Towers,Ian McKellen
Bashgah-e moshtzani,Chuck Palahniuk
The Lord of the Rings: The Fellowship of the Ring: The Motion Picture,Peter Jackson
The Two Towers,Peter Jackson
The Two Towers,Stephen Sinclair
The Lord of the Rings: The Fellowship of the Ring: The Motion Picture,Tim Sanders
The Lord of the Rings: The Fellowship of the Ring: The Motion Picture,Philippa Boyens
The Two Towers,Philippa Boyens
The Lord of the Rings: The Fellowship of the Ring: The Motion Picture,Barrie M. Osborne
The Two Towers,Barrie M. Osborne
