Batman 3,Gary Oldman
Bulvarinis skaitalas,John Travolta
Le seigneur des anneaux: La communauté de l'anneau,J.R.R. Tolkien
Gospodarot na prstenite: Vrakjanjeto na kralot,J.R.R. Tolkien
Batman 3,Anne Hathaway
Hra o tróny,Kit Harington
Batman 3,Christopher Nolan
Bulvarinis skaitalas,Bruce Willis
Le seigneur des anneaux: La communauté de l'anneau,Orlando Bloom
Gospodarot na prstenite: Vrakjanjeto na kralot,Orlando Bloom
I siopi ton amnon,Kenneth Utt
Batman 3,David S. Goyer
Le seigneur des anneaux: La communauté de l'anneau,Elijah Wood
Gospodarot na prstenite: Vrakjanjeto na kralot,Elijah Wood
I siopi ton amnon,Ted Tally
Bulvarinis skaitalas,Lawrence Bender
Bulvarinis skaitalas,Samuel L. Jackson
Bulvarinis skaitalas,David Wasco
Batman 3,Charles Roven
I siopi ton amnon,Jodie Foster
I siopi ton amnon,Ron Bozman
Le seigneur des anneaux: La communauté de l'anneau,Fran Walsh
Gospodarot na prstenite: Vrakjanjeto na kralot,Fran Walsh
Bulvarinis skaitalas,Quentin Tarantino
Bulvarinis skaitalas,Roger Avary
Bulvarinis skaitalas,Sally Menke
Le seigneur des anneaux: La communauté de l'anneau,Sean Bean
Hra o tróny,Emilia Clarke
Batman 3,Christian Bale
Gospodarot na prstenite: Vrakjanjeto na kralot,Viggo Mortensen
Batman 3,Tom Hardy
Hra o tróny,Lena Headey
I siopi ton amnon,Edward Saxon
Batman 3,Emma Thomas
Hra o tróny,Iain Glen
Gospodarot na prstenite: Vrakjanjeto na kralot,Howard Shore
Hra o tróny,Nikolaj Coster-Waldau
Le seigneur des anneaux: La communauté de l'anneau,Ian McKellen
Gospodarot na prstenite: Vrakjanjeto na kralot,Ian McKellen
I siopi ton amnon,Jonathan Demme
Batman 3,Bob Kane
Hra o tróny,D.B. Weiss
I siopi ton amnon,Lawrence A. Bonney
Le seigneur des anneaux: La communauté de l'anneau,Peter Jackson
Gospodarot na prstenite: Vrakjanjeto na kralot,Peter Jackson
Hra o tróny,Sophie Turner
I siopi ton amnon,Thomas Harris
Hra o tróny,Peter Dinklage
Batman 3,Jonathan Nolan
Bulvarinis skaitalas,Andrzej Sekula
Le seigneur des anneaux: La communauté de l'anneau,Tim Sanders
Le seigneur des anneaux: La communauté de l'anneau,Philippa Boyens
Gospodarot na prstenite: Vrakjanjeto na kralot,Philippa Boyens
I siopi ton amnon,Kasi Lemmons
I siopi ton amnon,Anthony Hopkins
Hra o tróny,Maisie Williams
Hra o tróny,David Benioff
Bulvarinis skaitalas,Uma Thurman
Le seigneur des anneaux: La communauté de l'anneau,Barrie M. Osborne
Gospodarot na prstenite: Vrakjanjeto na kralot,Barrie M. Osborne
