Dâku naito raijingu,Gary Oldman
Počiatok,Hans Zimmer
Dâku naito raijingu,Anne Hathaway
Dâku naito raijingu,Christopher Nolan
Počiatok,Christopher Nolan
Jango-ye raha shode,Fred Raskin
Nhà tù Shawshank,Richard Francis-Bruce
Jango-ye raha shode,Kerry Washington
Počiatok,Ken Watanabe
Dâku naito raijingu,David S. Goyer
Nhà tù Shawshank,Tim Robbins
Jango-ye raha shode,Reginald Hudlin
Jango-ye raha shode,Stacey Sher
Počiatok,Guy Hendrix Dyas
Dâku naito raijingu,Charles Roven
Počiatok,Wally Pfister
Počiatok,Lee Smith
Počiatok,Joseph Gordon-Levitt
Počiatok,Ellen Page
Jango-ye raha shode,Quentin Tarantino
Dâku naito raijingu,Christian Bale
Nhà tù Shawshank,Thomas Newman
Dâku naito raijingu,Tom Hardy
Dâku naito raijingu,Emma Thomas
Počiatok,Emma Thomas
Nhà tù Shawshank,Stephen King
Nhà tù Shawshank,Bob Gunton
Nhà tù Shawshank,Niki Marvin
Nhà tù Shawshank,Frank Darabont
Dâku naito raijingu,Bob Kane
Jango-ye raha shode,Christoph Waltz
Jango-ye raha shode,Robert Richardson
Nhà tù Shawshank,William Sadler
Jango-ye raha shode,Jamie Foxx
Dâku naito raijingu,Jonathan Nolan
Jango-ye raha shode,Pilar Savone
Počiatok,Leonardo DiCaprio
Jango-ye raha shode,Leonardo DiCaprio
Nhà tù Shawshank,Roger Deakins
Nhà tù Shawshank,Morgan Freeman
