Mračni vitez,Christopher Nolan
Rita Hayworth and Shawshank Redemption,Richard Francis-Bruce
Mračni vitez,David S. Goyer
Matrikss,Carrie-Anne Moss
Rita Hayworth and Shawshank Redemption,Tim Robbins
Matrikss,Laurence Fishburne
Mračni vitez,Charles Roven
Matrikss,Bill Pope
Mračni vitez,Christian Bale
Rita Hayworth and Shawshank Redemption,Thomas Newman
Matrikss,Keanu Reeves
Mračni vitez,Aaron Eckhart
Rita Hayworth and Shawshank Redemption,Stephen King
Matrikss,Joel Silver
Rita Hayworth and Shawshank Redemption,Bob Gunton
Matrikss,Don Davis
Rita Hayworth and Shawshank Redemption,Niki Marvin
Matrikss,Zach Staenberg
Rita Hayworth and Shawshank Redemption,Frank Darabont
Mračni vitez,Bob Kane
Mračni vitez,Lorne Orleans
Rita Hayworth and Shawshank Redemption,William Sadler
Mračni vitez,Michael Caine
Matrikss,Lana Wachowski
Mračni vitez,Jonathan Nolan
Mračni vitez,Heath Ledger
Rita Hayworth and Shawshank Redemption,Roger Deakins
Rita Hayworth and Shawshank Redemption,Morgan Freeman
Matrikss,Lilly Wachowski
Matrikss,Hugo Weaving
