Pulp Fiction: Tarinoita väkivallasta,John Travolta
Epta,Richard Francis-Bruce
Pulp Fiction: Tarinoita väkivallasta,Bruce Willis
Epta,Kevin Spacey
Ko jagenjčki obmolknejo,Kenneth Utt
Ko jagenjčki obmolknejo,Ted Tally
Pulp Fiction: Tarinoita väkivallasta,Lawrence Bender
Pulp Fiction: Tarinoita väkivallasta,Samuel L. Jackson
Pulp Fiction: Tarinoita väkivallasta,David Wasco
Ko jagenjčki obmolknejo,Jodie Foster
Epta,Phyllis Carlyle
Epta,Darius Khondji
Ko jagenjčki obmolknejo,Ron Bozman
Epta,David Fincher
Pulp Fiction: Tarinoita väkivallasta,Quentin Tarantino
Pulp Fiction: Tarinoita väkivallasta,Roger Avary
Pulp Fiction: Tarinoita väkivallasta,Sally Menke
Epta,Brad Pitt
Ko jagenjčki obmolknejo,Edward Saxon
Epta,Howard Shore
Ko jagenjčki obmolknejo,Jonathan Demme
Epta,Arnold Kopelson
Ko jagenjčki obmolknejo,Lawrence A. Bonney
Ko jagenjčki obmolknejo,Thomas Harris
Epta,Andrew Kevin Walker
Pulp Fiction: Tarinoita väkivallasta,Andrzej Sekula
Ko jagenjčki obmolknejo,Kasi Lemmons
Ko jagenjčki obmolknejo,Anthony Hopkins
Pulp Fiction: Tarinoita väkivallasta,Uma Thurman
Epta,Morgan Freeman
