Temný rytíř povstal,Gary Oldman
Temný rytíř povstal,Anne Hathaway
Taht Oyunlari,Kit Harington
Ο σκοτεινός ιππότης,Christopher Nolan
Temný rytíř povstal,Christopher Nolan
Le ali della libertà,Richard Francis-Bruce
Ο σκοτεινός ιππότης,David S. Goyer
Temný rytíř povstal,David S. Goyer
Le ali della libertà,Tim Robbins
Ο σκοτεινός ιππότης,Charles Roven
Temný rytíř povstal,Charles Roven
Taht Oyunlari,Emilia Clarke
Ο σκοτεινός ιππότης,Christian Bale
Temný rytíř povstal,Christian Bale
Le ali della libertà,Thomas Newman
Temný rytíř povstal,Tom Hardy
Taht Oyunlari,Lena Headey
Temný rytíř povstal,Emma Thomas
Ο σκοτεινός ιππότης,Aaron Eckhart
Le ali della libertà,Stephen King
Taht Oyunlari,Iain Glen
Taht Oyunlari,Nikolaj Coster-Waldau
Le ali della libertà,Bob Gunton
Le ali della libertà,Niki Marvin
Le ali della libertà,Frank Darabont
Ο σκοτεινός ιππότης,Bob Kane
Temný rytíř povstal,Bob Kane
Ο σκοτεινός ιππότης,Lorne Orleans
Taht Oyunlari,D.B. Weiss
Le ali della libertà,William Sadler
Taht Oyunlari,Sophie Turner
Ο σκοτεινός ιππότης,Michael Caine
Taht Oyunlari,Peter Dinklage
Ο σκοτεινός ιππότης,Jonathan Nolan
Temný rytíř povstal,Jonathan Nolan
Taht Oyunlari,Maisie Williams
Taht Oyunlari,David Benioff
Ο σκοτεινός ιππότης,Heath Ledger
Le ali della libertà,Roger Deakins
Le ali della libertà,Morgan Freeman
