Le seigneur des anneaux: Le retour du roi,J.R.R. Tolkien
Hringadróttinssaga: Hilmir snýr heim,J.R.R. Tolkien
Τελευταία έξοδος: Ρίτα Χέιγουορθ,Richard Francis-Bruce
Le seigneur des anneaux: Le retour du roi,Orlando Bloom
Hringadróttinssaga: Hilmir snýr heim,Orlando Bloom
Le seigneur des anneaux: Le retour du roi,Elijah Wood
Hringadróttinssaga: Hilmir snýr heim,Elijah Wood
Fylkið,Carrie-Anne Moss
Τελευταία έξοδος: Ρίτα Χέιγουορθ,Tim Robbins
Fylkið,Laurence Fishburne
Fylkið,Bill Pope
Le seigneur des anneaux: Le retour du roi,Fran Walsh
Hringadróttinssaga: Hilmir snýr heim,Fran Walsh
Τελευταία έξοδος: Ρίτα Χέιγουορθ,Thomas Newman
Le seigneur des anneaux: Le retour du roi,Viggo Mortensen
Hringadróttinssaga: Hilmir snýr heim,Viggo Mortensen
Fylkið,Keanu Reeves
Τελευταία έξοδος: Ρίτα Χέιγουορθ,Stephen King
Le seigneur des anneaux: Le retour du roi,Howard Shore
Hringadróttinssaga: Hilmir snýr heim,Howard Shore
Fylkið,Joel Silver
Le seigneur des anneaux: Le retour du roi,Ian McKellen
Hringadróttinssaga: Hilmir snýr heim,Ian McKellen
Τελευταία έξοδος: Ρίτα Χέιγουορθ,Bob Gunton
Fylkið,Don Davis
Τελευταία έξοδος: Ρίτα Χέιγουορθ,Niki Marvin
Fylkið,Zach Staenberg
Τελευταία έξοδος: Ρίτα Χέιγουορθ,Frank Darabont
Le seigneur des anneaux: Le retour du roi,Peter Jackson
Hringadróttinssaga: Hilmir snýr heim,Peter Jackson
Τελευταία έξοδος: Ρίτα Χέιγουορθ,William Sadler
Fylkið,Lana Wachowski
Le seigneur des anneaux: Le retour du roi,Philippa Boyens
Hringadróttinssaga: Hilmir snýr heim,Philippa Boyens
Τελευταία έξοδος: Ρίτα Χέιγουορθ,Roger Deakins
Τελευταία έξοδος: Ρίτα Χέιγουορθ,Morgan Freeman
Le seigneur des anneaux: Le retour du roi,Barrie M. Osborne
Hringadróttinssaga: Hilmir snýr heim,Barrie M. Osborne
Fylkið,Lilly Wachowski
Fylkið,Hugo Weaving
