Kriminal Qirayet,John Travolta
Ο άρχοντας των δαχτυλιδιών: Η συντροφιά του δαχτυλιδιού,J.R.R. Tolkien
Kriminal Qirayet,Bruce Willis
Ο άρχοντας των δαχτυλιδιών: Η συντροφιά του δαχτυλιδιού,Orlando Bloom
Ο άρχοντας των δαχτυλιδιών: Η συντροφιά του δαχτυλιδιού,Elijah Wood
Kriminal Qirayet,Lawrence Bender
Kriminal Qirayet,Samuel L. Jackson
Kriminal Qirayet,David Wasco
Ο άρχοντας των δαχτυλιδιών: Η συντροφιά του δαχτυλιδιού,Fran Walsh
Kriminal Qirayet,Quentin Tarantino
Kriminal Qirayet,Roger Avary
Kriminal Qirayet,Sally Menke
Ο άρχοντας των δαχτυλιδιών: Η συντροφιά του δαχτυλιδιού,Sean Bean
Ο άρχοντας των δαχτυλιδιών: Η συντροφιά του δαχτυλιδιού,Ian McKellen
Ο άρχοντας των δαχτυλιδιών: Η συντροφιά του δαχτυλιδιού,Peter Jackson
Kriminal Qirayet,Andrzej Sekula
Ο άρχοντας των δαχτυλιδιών: Η συντροφιά του δαχτυλιδιού,Tim Sanders
Ο άρχοντας των δαχτυλιδιών: Η συντροφιά του δαχτυλιδιού,Philippa Boyens
Kriminal Qirayet,Uma Thurman
Ο άρχοντας των δαχτυλιδιών: Η συντροφιά του δαχτυλιδιού,Barrie M. Osborne
