Sar Hatabaot: Shnei Hatzri'kh'im,J.R.R. Tolkien
Origine,Hans Zimmer
Igra prijestolja,Kit Harington
Origine,Christopher Nolan
Origine,Ken Watanabe
Sar Hatabaot: Shnei Hatzri'kh'im,Orlando Bloom
Sar Hatabaot: Shnei Hatzri'kh'im,Elijah Wood
Origine,Guy Hendrix Dyas
Origine,Wally Pfister
Origine,Lee Smith
Sar Hatabaot: Shnei Hatzri'kh'im,Fran Walsh
Origine,Joseph Gordon-Levitt
Origine,Ellen Page
Igra prijestolja,Emilia Clarke
Sar Hatabaot: Shnei Hatzri'kh'im,Viggo Mortensen
Igra prijestolja,Lena Headey
Origine,Emma Thomas
Igra prijestolja,Iain Glen
Igra prijestolja,Nikolaj Coster-Waldau
Sar Hatabaot: Shnei Hatzri'kh'im,Ian McKellen
Igra prijestolja,D.B. Weiss
Sar Hatabaot: Shnei Hatzri'kh'im,Peter Jackson
Igra prijestolja,Sophie Turner
Sar Hatabaot: Shnei Hatzri'kh'im,Stephen Sinclair
Igra prijestolja,Peter Dinklage
Sar Hatabaot: Shnei Hatzri'kh'im,Philippa Boyens
Igra prijestolja,Maisie Williams
Igra prijestolja,David Benioff
Origine,Leonardo DiCaprio
Sar Hatabaot: Shnei Hatzri'kh'im,Barrie M. Osborne
