O Senhor dos Anéis - As Duas Torres,J.R.R. Tolkien
Izvor,Hans Zimmer
Izvor,Christopher Nolan
Izvor,Ken Watanabe
O Senhor dos Anéis - As Duas Torres,Orlando Bloom
O Senhor dos Anéis - As Duas Torres,Elijah Wood
Izvor,Guy Hendrix Dyas
Izvor,Wally Pfister
Izvor,Lee Smith
O Senhor dos Anéis - As Duas Torres,Fran Walsh
Izvor,Joseph Gordon-Levitt
Izvor,Ellen Page
O Senhor dos Anéis - As Duas Torres,Viggo Mortensen
Izvor,Emma Thomas
O Senhor dos Anéis - As Duas Torres,Ian McKellen
O Senhor dos Anéis - As Duas Torres,Peter Jackson
O Senhor dos Anéis - As Duas Torres,Stephen Sinclair
O Senhor dos Anéis - As Duas Torres,Philippa Boyens
Izvor,Leonardo DiCaprio
O Senhor dos Anéis - As Duas Torres,Barrie M. Osborne
