Gospodar prstenova: Prstenova družina,J.R.R. Tolkien
Cavalerul negru,Christopher Nolan
Gaqceva shoushenkidan,Richard Francis-Bruce
Gospodar prstenova: Prstenova družina,Orlando Bloom
Мовчання ягнят,Kenneth Utt
Cavalerul negru,David S. Goyer
Gospodar prstenova: Prstenova družina,Elijah Wood
Gaqceva shoushenkidan,Tim Robbins
Мовчання ягнят,Ted Tally
Cavalerul negru,Charles Roven
Мовчання ягнят,Jodie Foster
Мовчання ягнят,Ron Bozman
Gospodar prstenova: Prstenova družina,Fran Walsh
Gospodar prstenova: Prstenova družina,Sean Bean
Cavalerul negru,Christian Bale
Gaqceva shoushenkidan,Thomas Newman
Мовчання ягнят,Edward Saxon
Cavalerul negru,Aaron Eckhart
Gaqceva shoushenkidan,Stephen King
Gospodar prstenova: Prstenova družina,Ian McKellen
Gaqceva shoushenkidan,Bob Gunton
Gaqceva shoushenkidan,Niki Marvin
Gaqceva shoushenkidan,Frank Darabont
Мовчання ягнят,Jonathan Demme
Cavalerul negru,Bob Kane
Cavalerul negru,Lorne Orleans
Мовчання ягнят,Lawrence A. Bonney
Gospodar prstenova: Prstenova družina,Peter Jackson
Gaqceva shoushenkidan,William Sadler
Мовчання ягнят,Thomas Harris
Cavalerul negru,Michael Caine
Cavalerul negru,Jonathan Nolan
Gospodar prstenova: Prstenova družina,Tim Sanders
Gospodar prstenova: Prstenova družina,Philippa Boyens
Мовчання ягнят,Kasi Lemmons
Мовчання ягнят,Anthony Hopkins
Cavalerul negru,Heath Ledger
Gaqceva shoushenkidan,Roger Deakins
Gaqceva shoushenkidan,Morgan Freeman
Gospodar prstenova: Prstenova družina,Barrie M. Osborne
