Medzvezdje,Hans Zimmer
Medzvezdje,Anne Hathaway
Trónok harca,Kit Harington
Troonide mäng,Kit Harington
Shavi Raindi,Christopher Nolan
Medzvezdje,Christopher Nolan
Shavi Raindi,David S. Goyer
Shavi Raindi,Charles Roven
Medzvezdje,Lynda Obst
Trónok harca,Emilia Clarke
Troonide mäng,Emilia Clarke
Shavi Raindi,Christian Bale
Trónok harca,Lena Headey
Troonide mäng,Lena Headey
Medzvezdje,Emma Thomas
Shavi Raindi,Aaron Eckhart
Trónok harca,Iain Glen
Troonide mäng,Iain Glen
Trónok harca,Nikolaj Coster-Waldau
Troonide mäng,Nikolaj Coster-Waldau
Shavi Raindi,Bob Kane
Shavi Raindi,Lorne Orleans
Trónok harca,D.B. Weiss
Troonide mäng,D.B. Weiss
Trónok harca,Sophie Turner
Troonide mäng,Sophie Turner
Medzvezdje,Hoyte Van Hoytema
Medzvezdje,Jessica Chastain
Shavi Raindi,Michael Caine
Medzvezdje,Matthew McConaughey
Trónok harca,Peter Dinklage
Troonide mäng,Peter Dinklage
Shavi Raindi,Jonathan Nolan
Medzvezdje,Jonathan Nolan
Medzvezdje,Mackenzie Foy
Trónok harca,Maisie Williams
Troonide mäng,Maisie Williams
Trónok harca,David Benioff
Troonide mäng,David Benioff
Shavi Raindi,Heath Ledger
