Udhëtimi Ndëryjor,Hans Zimmer
Udhëtimi Ndëryjor,Anne Hathaway
Urzeala tronurilor,Kit Harington
Udhëtimi Ndëryjor,Christopher Nolan
Ištrukęs Džango,Fred Raskin
Rita Hayworth -Avain pakoon,Richard Francis-Bruce
Hetedik,Richard Francis-Bruce
Ištrukęs Džango,Kerry Washington
Hetedik,Kevin Spacey
Rita Hayworth -Avain pakoon,Tim Robbins
Ištrukęs Džango,Reginald Hudlin
Ištrukęs Džango,Stacey Sher
Hetedik,Phyllis Carlyle
Hetedik,Darius Khondji
Udhëtimi Ndëryjor,Lynda Obst
Hetedik,David Fincher
Ištrukęs Džango,Quentin Tarantino
Urzeala tronurilor,Emilia Clarke
Rita Hayworth -Avain pakoon,Thomas Newman
Urzeala tronurilor,Lena Headey
Hetedik,Brad Pitt
Udhëtimi Ndëryjor,Emma Thomas
Rita Hayworth -Avain pakoon,Stephen King
Urzeala tronurilor,Iain Glen
Hetedik,Howard Shore
Urzeala tronurilor,Nikolaj Coster-Waldau
Rita Hayworth -Avain pakoon,Bob Gunton
Rita Hayworth -Avain pakoon,Niki Marvin
Rita Hayworth -Avain pakoon,Frank Darabont
Ištrukęs Džango,Christoph Waltz
Hetedik,Arnold Kopelson
Urzeala tronurilor,D.B. Weiss
Ištrukęs Džango,Robert Richardson
Rita Hayworth -Avain pakoon,William Sadler
Urzeala tronurilor,Sophie Turner
Udhëtimi Ndëryjor,Hoyte Van Hoytema
Udhëtimi Ndëryjor,Jessica Chastain
Hetedik,Andrew Kevin Walker
Udhëtimi Ndëryjor,Matthew McConaughey
Urzeala tronurilor,Peter Dinklage
Ištrukęs Džango,Jamie Foxx
Udhëtimi Ndëryjor,Jonathan Nolan
Ištrukęs Džango,Pilar Savone
Udhëtimi Ndëryjor,Mackenzie Foy
Urzeala tronurilor,Maisie Williams
Urzeala tronurilor,David Benioff
Ištrukęs Džango,Leonardo DiCaprio
Rita Hayworth -Avain pakoon,Roger Deakins
Rita Hayworth -Avain pakoon,Morgan Freeman
Hetedik,Morgan Freeman
