The Dark Knight Rises: The IMAX Experience,Gary Oldman
Klub Bitkárov,Ross Grayson Bell
Klub golih pesti,Ross Grayson Bell
The Dark Knight Rises: The IMAX Experience,Anne Hathaway
The Dark Knight Rises: The IMAX Experience,Christopher Nolan
Klub Bitkárov,Ceán Chaffin
Klub golih pesti,Ceán Chaffin
Shawshanki lunastus,Richard Francis-Bruce
Klub Bitkárov,Edward Norton
Klub golih pesti,Edward Norton
The Dark Knight Rises: The IMAX Experience,David S. Goyer
Shawshanki lunastus,Tim Robbins
Klub Bitkárov,Jim Uhls
Klub golih pesti,Jim Uhls
The Dark Knight Rises: The IMAX Experience,Charles Roven
Klub Bitkárov,David Fincher
Klub golih pesti,David Fincher
The Dark Knight Rises: The IMAX Experience,Christian Bale
Shawshanki lunastus,Thomas Newman
Klub Bitkárov,Zach Grenier
Klub golih pesti,Zach Grenier
The Dark Knight Rises: The IMAX Experience,Tom Hardy
Klub Bitkárov,Brad Pitt
Klub golih pesti,Brad Pitt
The Dark Knight Rises: The IMAX Experience,Emma Thomas
Klub Bitkárov,Art Linson
Klub golih pesti,Art Linson
Shawshanki lunastus,Stephen King
Klub Bitkárov,Meat Loaf
Klub golih pesti,Meat Loaf
Shawshanki lunastus,Bob Gunton
Shawshanki lunastus,Niki Marvin
Shawshanki lunastus,Frank Darabont
The Dark Knight Rises: The IMAX Experience,Bob Kane
Klub Bitkárov,Chuck Palahniuk
Klub golih pesti,Chuck Palahniuk
Shawshanki lunastus,William Sadler
The Dark Knight Rises: The IMAX Experience,Jonathan Nolan
Shawshanki lunastus,Roger Deakins
Shawshanki lunastus,Morgan Freeman
