Magnus Rex,Gary Oldman
Тёмный рыцарь: Возрождение легенды,Gary Oldman
Hei'an qishi: Liming shengqi,Gary Oldman
Magnus Rex,Anne Hathaway
Тёмный рыцарь: Возрождение легенды,Anne Hathaway
Hei'an qishi: Liming shengqi,Anne Hathaway
Magnus Rex,Christopher Nolan
Тёмный рыцарь: Возрождение легенды,Christopher Nolan
Hei'an qishi: Liming shengqi,Christopher Nolan
Magnus Rex,David S. Goyer
Тёмный рыцарь: Возрождение легенды,David S. Goyer
Hei'an qishi: Liming shengqi,David S. Goyer
Magnus Rex,Charles Roven
Тёмный рыцарь: Возрождение легенды,Charles Roven
Hei'an qishi: Liming shengqi,Charles Roven
Magnus Rex,Christian Bale
Тёмный рыцарь: Возрождение легенды,Christian Bale
Hei'an qishi: Liming shengqi,Christian Bale
Magnus Rex,Tom Hardy
Тёмный рыцарь: Возрождение легенды,Tom Hardy
Hei'an qishi: Liming shengqi,Tom Hardy
Magnus Rex,Emma Thomas
Тёмный рыцарь: Возрождение легенды,Emma Thomas
Hei'an qishi: Liming shengqi,Emma Thomas
Magnus Rex,Bob Kane
Тёмный рыцарь: Возрождение легенды,Bob Kane
Hei'an qishi: Liming shengqi,Bob Kane
Magnus Rex,Jonathan Nolan
Тёмный рыцарь: Возрождение легенды,Jonathan Nolan
Hei'an qishi: Liming shengqi,Jonathan Nolan
