The Return of the King,J.R.R. Tolkien
Pradžia,Hans Zimmer
Počátek,Hans Zimmer
Pradžia,Christopher Nolan
Počátek,Christopher Nolan
Pradžia,Ken Watanabe
Počátek,Ken Watanabe
The Return of the King,Orlando Bloom
Ruptura Total,Vince Gilligan
The Return of the King,Elijah Wood
Ruptura Total,Anna Gunn
Pradžia,Guy Hendrix Dyas
Počátek,Guy Hendrix Dyas
Pradžia,Wally Pfister
Počátek,Wally Pfister
Ruptura Total,Steven Michael Quezada
Pradžia,Lee Smith
Počátek,Lee Smith
The Return of the King,Fran Walsh
Pradžia,Joseph Gordon-Levitt
Počátek,Joseph Gordon-Levitt
Pradžia,Ellen Page
Počátek,Ellen Page
The Return of the King,Viggo Mortensen
Pradžia,Emma Thomas
Počátek,Emma Thomas
Ruptura Total,Bob Odenkirk
Ruptura Total,RJ Mitte
The Return of the King,Howard Shore
Ruptura Total,Dean Norris
The Return of the King,Ian McKellen
Ruptura Total,Betsy Brandt
The Return of the King,Peter Jackson
Ruptura Total,Bryan Cranston
Ruptura Total,Aaron Paul
The Return of the King,Philippa Boyens
Pradžia,Leonardo DiCaprio
Počátek,Leonardo DiCaprio
Ruptura Total,Jonathan Banks
The Return of the King,Barrie M. Osborne
