Władca pierścieni: Dwie wieże,J.R.R. Tolkien
Početak,Hans Zimmer
Talghin,Hans Zimmer
Početak,Hans Zimmer
Početak,Christopher Nolan
Talghin,Christopher Nolan
Početak,Christopher Nolan
Hành Trình Django,Fred Raskin
Hành Trình Django,Kerry Washington
Početak,Ken Watanabe
Talghin,Ken Watanabe
Početak,Ken Watanabe
Władca pierścieni: Dwie wieże,Orlando Bloom
Il gladiatore,Russell Crowe
Il gladiatore,Ridley Scott
Il gladiatore,Douglas Wick
Władca pierścieni: Dwie wieże,Elijah Wood
Hành Trình Django,Reginald Hudlin
Il gladiatore,Joaquin Phoenix
Hành Trình Django,Stacey Sher
Il gladiatore,John Logan
Početak,Guy Hendrix Dyas
Talghin,Guy Hendrix Dyas
Početak,Guy Hendrix Dyas
Početak,Wally Pfister
Talghin,Wally Pfister
Početak,Wally Pfister
Početak,Lee Smith
Talghin,Lee Smith
Početak,Lee Smith
Władca pierścieni: Dwie wieże,Fran Walsh
Početak,Joseph Gordon-Levitt
Talghin,Joseph Gordon-Levitt
Početak,Joseph Gordon-Levitt
Početak,Ellen Page
Talghin,Ellen Page
Početak,Ellen Page
Hành Trình Django,Quentin Tarantino
Władca pierścieni: Dwie wieże,Viggo Mortensen
Il gladiatore,William Nicholson
Početak,Emma Thomas
Talghin,Emma Thomas
Početak,Emma Thomas
Il gladiatore,Connie Nielsen
Władca pierścieni: Dwie wieże,Ian McKellen
Il gladiatore,Branko Lustig
Hành Trình Django,Christoph Waltz
Władca pierścieni: Dwie wieże,Peter Jackson
Hành Trình Django,Robert Richardson
Władca pierścieni: Dwie wieże,Stephen Sinclair
Hành Trình Django,Jamie Foxx
Władca pierścieni: Dwie wieże,Philippa Boyens
Hành Trình Django,Pilar Savone
Il gladiatore,Oliver Reed
Il gladiatore,David Franzoni
Početak,Leonardo DiCaprio
Talghin,Leonardo DiCaprio
Početak,Leonardo DiCaprio
Hành Trình Django,Leonardo DiCaprio
Władca pierścieni: Dwie wieże,Barrie M. Osborne
