Ringenes herre: To tårn,J.R.R. Tolkien
Al-arraab,Al Pacino
Batman 5,Christopher Nolan
Batman 5,Ken Watanabe
Ringenes herre: To tårn,Orlando Bloom
Gladijator,Russell Crowe
Gladijator,Russell Crowe
Gladijator,Ridley Scott
Gladijator,Ridley Scott
Gladijator,Douglas Wick
Gladijator,Douglas Wick
Batman 5,David S. Goyer
Ringenes herre: To tårn,Elijah Wood
Gladijator,Joaquin Phoenix
Gladijator,Joaquin Phoenix
Gladijator,John Logan
Gladijator,John Logan
Batman 5,Charles Roven
Al-arraab,Mario Puzo
Al-arraab,Gordon Willis
Ringenes herre: To tårn,Fran Walsh
Al-arraab,James Caan
Batman 5,Christian Bale
Ringenes herre: To tårn,Viggo Mortensen
Gladijator,William Nicholson
Gladijator,William Nicholson
Batman 5,Larry Franco
Al-arraab,William Reynolds
Al-arraab,Francis Ford Coppola
Al-arraab,Nino Rota
Gladijator,Connie Nielsen
Gladijator,Connie Nielsen
Al-arraab,Diane Keaton
Ringenes herre: To tårn,Ian McKellen
Al-arraab,Al Ruddy
Gladijator,Branko Lustig
Gladijator,Branko Lustig
Batman 5,Bob Kane
Batman 5,Lorne Orleans
Al-arraab,Marlon Brando
Ringenes herre: To tårn,Peter Jackson
Ringenes herre: To tårn,Stephen Sinclair
Batman 5,Michael Caine
Ringenes herre: To tårn,Philippa Boyens
Gladijator,Oliver Reed
Gladijator,Oliver Reed
Gladijator,David Franzoni
Gladijator,David Franzoni
Batman 5,Liam Neeson
Ringenes herre: To tårn,Barrie M. Osborne
