Banjieui jewang du gaeeui tab,J.R.R. Tolkien
Володар перснiв: Двi вежi,J.R.R. Tolkien
Daeboo,Al Pacino
Banjieui jewang du gaeeui tab,Orlando Bloom
Володар перснiв: Двi вежi,Orlando Bloom
Banjieui jewang du gaeeui tab,Elijah Wood
Володар перснiв: Двi вежi,Elijah Wood
Daeboo,Mario Puzo
Daeboo,Gordon Willis
Banjieui jewang du gaeeui tab,Fran Walsh
Володар перснiв: Двi вежi,Fran Walsh
Daeboo,James Caan
Banjieui jewang du gaeeui tab,Viggo Mortensen
Володар перснiв: Двi вежi,Viggo Mortensen
Daeboo,William Reynolds
Daeboo,Francis Ford Coppola
Daeboo,Nino Rota
Daeboo,Diane Keaton
Banjieui jewang du gaeeui tab,Ian McKellen
Володар перснiв: Двi вежi,Ian McKellen
Daeboo,Al Ruddy
Daeboo,Marlon Brando
Banjieui jewang du gaeeui tab,Peter Jackson
Володар перснiв: Двi вежi,Peter Jackson
Banjieui jewang du gaeeui tab,Stephen Sinclair
Володар перснiв: Двi вежi,Stephen Sinclair
Banjieui jewang du gaeeui tab,Philippa Boyens
Володар перснiв: Двi вежi,Philippa Boyens
Banjieui jewang du gaeeui tab,Barrie M. Osborne
Володар перснiв: Двi вежi,Barrie M. Osborne
