Interstellar: Calatorind prin univers,Hans Zimmer
Interstellar: Calatorind prin univers,Anne Hathaway
Тёмный рыцарь,Christopher Nolan
Interstellar: Calatorind prin univers,Christopher Nolan
Django desencadenado,Fred Raskin
Django desencadenado,Kerry Washington
Тёмный рыцарь,David S. Goyer
Django desencadenado,Reginald Hudlin
Django desencadenado,Stacey Sher
Тёмный рыцарь,Charles Roven
Interstellar: Calatorind prin univers,Lynda Obst
Django desencadenado,Quentin Tarantino
Тёмный рыцарь,Christian Bale
Interstellar: Calatorind prin univers,Emma Thomas
Тёмный рыцарь,Aaron Eckhart
Тёмный рыцарь,Bob Kane
Django desencadenado,Christoph Waltz
Тёмный рыцарь,Lorne Orleans
Django desencadenado,Robert Richardson
Interstellar: Calatorind prin univers,Hoyte Van Hoytema
Interstellar: Calatorind prin univers,Jessica Chastain
Тёмный рыцарь,Michael Caine
Interstellar: Calatorind prin univers,Matthew McConaughey
Django desencadenado,Jamie Foxx
Тёмный рыцарь,Jonathan Nolan
Interstellar: Calatorind prin univers,Jonathan Nolan
Django desencadenado,Pilar Savone
Interstellar: Calatorind prin univers,Mackenzie Foy
Django desencadenado,Leonardo DiCaprio
Тёмный рыцарь,Heath Ledger
