Seyed alkhavatem 2,J.R.R. Tolkien
Tarp žvaigždžiu,Hans Zimmer
Tarp žvaigždžiu,Anne Hathaway
Черният рицар,Christopher Nolan
Tarp žvaigždžiu,Christopher Nolan
Sedam,Richard Francis-Bruce
Sedam,Richard Francis-Bruce
Seyed alkhavatem 2,Orlando Bloom
Sedam,Kevin Spacey
Sedam,Kevin Spacey
Черният рицар,David S. Goyer
Seyed alkhavatem 2,Elijah Wood
Черният рицар,Charles Roven
Sedam,Phyllis Carlyle
Sedam,Phyllis Carlyle
Sedam,Darius Khondji
Sedam,Darius Khondji
Tarp žvaigždžiu,Lynda Obst
Sedam,David Fincher
Sedam,David Fincher
Seyed alkhavatem 2,Fran Walsh
Черният рицар,Christian Bale
Seyed alkhavatem 2,Viggo Mortensen
Sedam,Brad Pitt
Sedam,Brad Pitt
Tarp žvaigždžiu,Emma Thomas
Черният рицар,Aaron Eckhart
Sedam,Howard Shore
Sedam,Howard Shore
Seyed alkhavatem 2,Ian McKellen
Черният рицар,Bob Kane
Sedam,Arnold Kopelson
Sedam,Arnold Kopelson
Черният рицар,Lorne Orleans
Seyed alkhavatem 2,Peter Jackson
Tarp žvaigždžiu,Hoyte Van Hoytema
Tarp žvaigždžiu,Jessica Chastain
Seyed alkhavatem 2,Stephen Sinclair
Черният рицар,Michael Caine
Sedam,Andrew Kevin Walker
Sedam,Andrew Kevin Walker
Tarp žvaigždžiu,Matthew McConaughey
Черният рицар,Jonathan Nolan
Tarp žvaigždžiu,Jonathan Nolan
Seyed alkhavatem 2,Philippa Boyens
Tarp žvaigždžiu,Mackenzie Foy
Черният рицар,Heath Ledger
Sedam,Morgan Freeman
Sedam,Morgan Freeman
Seyed alkhavatem 2,Barrie M. Osborne
