Yüzüklerin Efendisi: Kralın Dönüşü,J.R.R. Tolkien
O Senhor dos Anéis - O Regresso do Rei,J.R.R. Tolkien
Yüzüklerin Efendisi: Kralın Dönüşü,Orlando Bloom
O Senhor dos Anéis - O Regresso do Rei,Orlando Bloom
Yüzüklerin Efendisi: Kralın Dönüşü,Elijah Wood
O Senhor dos Anéis - O Regresso do Rei,Elijah Wood
Yüzüklerin Efendisi: Kralın Dönüşü,Fran Walsh
O Senhor dos Anéis - O Regresso do Rei,Fran Walsh
Yüzüklerin Efendisi: Kralın Dönüşü,Viggo Mortensen
O Senhor dos Anéis - O Regresso do Rei,Viggo Mortensen
Yüzüklerin Efendisi: Kralın Dönüşü,Howard Shore
O Senhor dos Anéis - O Regresso do Rei,Howard Shore
Yüzüklerin Efendisi: Kralın Dönüşü,Ian McKellen
O Senhor dos Anéis - O Regresso do Rei,Ian McKellen
Yüzüklerin Efendisi: Kralın Dönüşü,Peter Jackson
O Senhor dos Anéis - O Regresso do Rei,Peter Jackson
Yüzüklerin Efendisi: Kralın Dönüşü,Philippa Boyens
O Senhor dos Anéis - O Regresso do Rei,Philippa Boyens
Yüzüklerin Efendisi: Kralın Dönüşü,Barrie M. Osborne
O Senhor dos Anéis - O Regresso do Rei,Barrie M. Osborne
