Algus,Hans Zimmer
Batman comienza,Christopher Nolan
Temný Rytier,Christopher Nolan
Algus,Christopher Nolan
Batman comienza,Ken Watanabe
Algus,Ken Watanabe
Batman comienza,David S. Goyer
Temný Rytier,David S. Goyer
Algus,Guy Hendrix Dyas
Batman comienza,Charles Roven
Temný Rytier,Charles Roven
Algus,Wally Pfister
Algus,Lee Smith
Algus,Joseph Gordon-Levitt
Algus,Ellen Page
Batman comienza,Christian Bale
Temný Rytier,Christian Bale
Batman comienza,Larry Franco
Algus,Emma Thomas
Temný Rytier,Aaron Eckhart
Batman comienza,Bob Kane
Temný Rytier,Bob Kane
Batman comienza,Lorne Orleans
Temný Rytier,Lorne Orleans
Batman comienza,Michael Caine
Temný Rytier,Michael Caine
Temný Rytier,Jonathan Nolan
Algus,Leonardo DiCaprio
Temný Rytier,Heath Ledger
Batman comienza,Liam Neeson
