GoT,Kit Harington
GoT,Kit Harington
Μπάτμαν: Η αρχή,Christopher Nolan
Μπάτμαν: Η αρχή,Ken Watanabe
Mlčení jehňátek,Kenneth Utt
Mlčení jehňátek,Kenneth Utt
Somt alhemlan,Kenneth Utt
Μπάτμαν: Η αρχή,David S. Goyer
Mlčení jehňátek,Ted Tally
Mlčení jehňátek,Ted Tally
Somt alhemlan,Ted Tally
Μπάτμαν: Η αρχή,Charles Roven
Mlčení jehňátek,Jodie Foster
Mlčení jehňátek,Jodie Foster
Somt alhemlan,Jodie Foster
Mlčení jehňátek,Ron Bozman
Mlčení jehňátek,Ron Bozman
Somt alhemlan,Ron Bozman
GoT,Emilia Clarke
GoT,Emilia Clarke
Μπάτμαν: Η αρχή,Christian Bale
Μπάτμαν: Η αρχή,Larry Franco
GoT,Lena Headey
GoT,Lena Headey
Mlčení jehňátek,Edward Saxon
Mlčení jehňátek,Edward Saxon
Somt alhemlan,Edward Saxon
GoT,Iain Glen
GoT,Iain Glen
GoT,Nikolaj Coster-Waldau
GoT,Nikolaj Coster-Waldau
Mlčení jehňátek,Jonathan Demme
Mlčení jehňátek,Jonathan Demme
Somt alhemlan,Jonathan Demme
Μπάτμαν: Η αρχή,Bob Kane
Μπάτμαν: Η αρχή,Lorne Orleans
GoT,D.B. Weiss
GoT,D.B. Weiss
Mlčení jehňátek,Lawrence A. Bonney
Mlčení jehňátek,Lawrence A. Bonney
Somt alhemlan,Lawrence A. Bonney
GoT,Sophie Turner
GoT,Sophie Turner
Mlčení jehňátek,Thomas Harris
Mlčení jehňátek,Thomas Harris
Somt alhemlan,Thomas Harris
Μπάτμαν: Η αρχή,Michael Caine
GoT,Peter Dinklage
GoT,Peter Dinklage
Mlčení jehňátek,Kasi Lemmons
Mlčení jehňátek,Kasi Lemmons
Somt alhemlan,Kasi Lemmons
Mlčení jehňátek,Anthony Hopkins
Mlčení jehňátek,Anthony Hopkins
Somt alhemlan,Anthony Hopkins
GoT,Maisie Williams
GoT,Maisie Williams
GoT,David Benioff
GoT,David Benioff
Μπάτμαν: Η αρχή,Liam Neeson
